"country","year","average_magnitude","eneg","enep","enlp","type"
"Italy",1948,18.52,1.04123,2.94,2.88,"Large-Magnitude PR"
"Italy",1953,19.03,1.04123,4.18,3.54,"Large-Magnitude PR"
"Italy",1958,18.63,1.04123,3.87,3.46,"Large-Magnitude PR"
"Italy",1963,19.69,1.04123,4.15,3.74,"Large-Magnitude PR"
"Italy",1968,19.69,1.04123,3.95,3.53,"Large-Magnitude PR"
"Italy",1972,19.69,1.04123,4.07,3.55,"Large-Magnitude PR"
"Italy",1976,19.69,1.04123,3.39,3.17,"Large-Magnitude PR"
"Italy",1979,19.69,1.04123,3.91,3.47,"Large-Magnitude PR"
"Italy",1983,19.69,1.04123,4.51,4.11,"Large-Magnitude PR"
"Italy",1987,19.69,1.04123,4.61,4.08,"Large-Magnitude PR"
"Italy",1992,19.69,1.04123,6.62,5.73,"Large-Magnitude PR"
"Italy",1994,1,1.04123,7.57,7.59,"Single-Member District"
"Italy",1996,1,1.04123,7.06,6.07,"Single-Member District"
"Jamaica",1962,1,1.19962,2.06,1.95,"Single-Member District"
"Jamaica",1967,1,1.19962,2.01,1.89,"Single-Member District"
"Jamaica",1972,1,1.19962,1.97,1.73,"Single-Member District"
"Jamaica",1976,1,1.19962,1.96,1.51,"Single-Member District"
"Jamaica",1980,1,1.19962,1.94,1.34,"Single-Member District"
"Jamaica",1983,1,1.19962,1.23,1,"Single-Member District"
"Jamaica",1989,1,1.19962,1.97,1.6,"Single-Member District"
"Jamaica",1993,1,1.19962,1.91,1.26,"Single-Member District"
"Jamaica",1997,1,1.19962,2.14,1.38,"Single-Member District"
"Japan",1947,3.98,1.01211,4.61,3.89,"Small-Magnitude PR"
"Japan",1949,3.98,1.01211,3.945,2.68,"Small-Magnitude PR"
"Japan",1952,3.98,1.01211,3.41,2.97,"Small-Magnitude PR"
"Japan",1953,3.98,1.01211,4.31,3.78,"Small-Magnitude PR"
"Japan",1955,3.96,1.01211,4.01,3.66,"Small-Magnitude PR"
"Japan",1958,3.96,1.01211,2.18,1.87,"Small-Magnitude PR"
"Japan",1960,3.96,1.01211,2.37,1.97,"Small-Magnitude PR"
"Japan",1963,3.96,1.01211,2.465,2.02,"Small-Magnitude PR"
"Japan",1967,3.95,1.01211,3.01,2.37,"Small-Magnitude PR"
"Japan",1969,3.95,1.01211,3.22,2.33,"Small-Magnitude PR"
"Japan",1972,3.96,1.01211,3.255,2.48,"Small-Magnitude PR"
"Japan",1976,3.93,1.01211,3.85,2.97,"Small-Magnitude PR"
"Japan",1979,3.93,1.01211,3.63,3.09,"Small-Magnitude PR"
"Japan",1980,3.93,1.01211,3.385,2.69,"Small-Magnitude PR"
"Japan",1983,3.93,1.01211,3.49,3.04,"Small-Magnitude PR"
"Japan",1986,3.94,1.01211,3.295,2.51,"Small-Magnitude PR"
"Japan",1990,3.94,1.01211,3.335,2.52,"Small-Magnitude PR"
"Japan",1993,3.96,1.01211,4.995,3.95,"Small-Magnitude PR"
"Japan",1996,1,1.01211,3.915,2.94,"Single-Member District"
"Japan",2000,1,1.01211,3.8,3.17,"Single-Member District"
"Korea, South (Rep.)",2000,1,1.00401,3.405,2.39,"Single-Member District"
"Latvia",1993,20,2.40993,6.21,5.05,"Large-Magnitude PR"
"Latvia",1995,20,2.40993,9.61,7.59,"Large-Magnitude PR"
"Latvia",1998,20,2.40993,6.94,5.49,"Large-Magnitude PR"
"Lithuania",1992,1,1.50975,4.61,2.76,"Single-Member District"
"Lithuania",1996,1,1.50975,7.75,3.33,"Single-Member District"
"Lithuania",2000,1,1.50975,7.98,3.52,"Single-Member District"
"Macedonia",1994,1,2.15008,3.255,3.23,"Single-Member District"
"Macedonia",1998,1,2.15008,5.05,2.93,"Single-Member District"
"Malawi",1994,1,5.84453,2.74,2.69,"Single-Member District"
"Malawi",1999,1,5.84453,2.84,2.66,"Single-Member District"
"Mali",1992,2.11,4.07085,3.6,2.24,"Small-Magnitude PR"
"Mexico",2000,1,2.18235,3,2.55,"Single-Member District"
"Mongolia",1992,2.92,1.3732,2.72,1.17,"Small-Magnitude PR"
"Mongolia",1996,1,1.3732,2.58,1.85,"Single-Member District"
"Mongolia",2000,1,1.3732,3.245,1.11,"Single-Member District"
"Namibia",1994,72,3.62855,1.69,1.71,"Large-Magnitude PR"
"Namibia",1999,72,3.62855,1.67,1.66,"Large-Magnitude PR"
"Nepal",1991,1,3.09289,3.92,2.47,"Single-Member District"
"Nepal",1994,1,3.09289,3.89,2.79,"Single-Member District"
"Nepal",1999,1,3.09289,3.905,2.4,"Single-Member District"
"Netherlands",1946,100,1.08319,4.68,4.47,"Large-Magnitude PR"
"Netherlands",1948,100,1.08319,4.985,4.68,"Large-Magnitude PR"
"Netherlands",1952,100,1.08319,5,4.65,"Large-Magnitude PR"
"Netherlands",1956,150,1.08319,4.26,4.07,"Large-Magnitude PR"
"Netherlands",1959,150,1.08319,4.46,4.14,"Large-Magnitude PR"
"Netherlands",1963,150,1.08319,4.8,4.5,"Large-Magnitude PR"
"Netherlands",1967,150,1.08319,6.21,5.71,"Large-Magnitude PR"
"Netherlands",1971,150,1.08319,7.11,6.4,"Large-Magnitude PR"
"Netherlands",1972,150,1.08319,6.85,6.41,"Large-Magnitude PR"
"Netherlands",1977,150,1.08319,3.96,3.7,"Large-Magnitude PR"
"Netherlands",1981,150,1.08319,4.56,4.3,"Large-Magnitude PR"
"Netherlands",1982,150,1.08319,4.24,4.02,"Large-Magnitude PR"
"Netherlands",1986,150,1.08319,3.77,3.49,"Large-Magnitude PR"
"Netherlands",1989,150,1.08319,3.9,3.75,"Large-Magnitude PR"
"Netherlands",1994,150,1.08319,5.71,5.41,"Large-Magnitude PR"
"Netherlands",1998,150,1.08319,5.14,4.81,"Large-Magnitude PR"
"New Zealand",1946,1,1.57101,2.01,2,"Single-Member District"
"New Zealand",1949,1,1.57101,2.03,1.96,"Single-Member District"
"New Zealand",1951,1,1.57101,1.99,1.88,"Single-Member District"
"New Zealand",1954,1,1.57101,2.48,1.97,"Single-Member District"
"New Zealand",1957,1,1.57101,2.3,1.99,"Single-Member District"
"New Zealand",1960,1,1.57101,2.37,1.96,"Single-Member District"
"New Zealand",1963,1,1.57101,2.39,1.97,"Single-Member District"
"New Zealand",1966,1,1.57101,2.61,2.02,"Single-Member District"
"New Zealand",1969,1,1.57101,2.45,1.99,"Single-Member District"
"New Zealand",1972,1,1.57101,2.43,1.87,"Single-Member District"
"New Zealand",1975,1,1.57101,2.55,1.87,"Single-Member District"
"New Zealand",1978,1,1.57101,2.87,2.02,"Single-Member District"
"New Zealand",1981,1,1.57101,2.89,2.08,"Single-Member District"
"New Zealand",1984,1,1.57101,2.99,1.98,"Single-Member District"
"New Zealand",1987,1,1.57101,2.34,1.94,"Single-Member District"
"New Zealand",1990,1,1.57101,2.78,1.76,"Single-Member District"
"New Zealand",1993,1,1.57101,3.525,2.16,"Single-Member District"
"New Zealand",1996,1,1.57101,4.39,3.76,"Single-Member District"
"New Zealand",1999,1,1.57101,3.86,3.45,"Single-Member District"
"Nicaragua",1990,10,1.67168,2.19,2.05,"Large-Magnitude PR"
"Nicaragua",1996,4.12,1.67168,2.935,2.7,"Small-Magnitude PR"
"Niger",1993,9.38,2.75406,4.625,4.23,"Large-Magnitude PR"
"Nigeria",1964,1,5.12295,3.92,2.85,"Single-Member District"
"Nigeria",1999,1,5.12295,2.32,2.34,"Single-Member District"
"Norway",1949,5.17,1.10803,3.76,2.67,"Small-Magnitude PR"
"Norway",1953,7.5,1.10803,3.53,3.09,"Large-Magnitude PR"
"Norway",1957,7.5,1.10803,3.44,2.99,"Large-Magnitude PR"
"Norway",1961,7.5,1.10803,3.59,3.22,"Large-Magnitude PR"
"Norway",1965,7.5,1.10803,3.9,3.51,"Large-Magnitude PR"
"Norway",1969,7.5,1.10803,3.61,3.18,"Large-Magnitude PR"
"Norway",1973,8.16,1.10803,4.63,4.14,"Large-Magnitude PR"
"Norway",1977,8.16,1.10803,3.85,2.97,"Large-Magnitude PR"
"Norway",1981,8.16,1.10803,3.92,3.2,"Large-Magnitude PR"
"Norway",1985,8.26,1.10803,3.63,3.09,"Large-Magnitude PR"
"Norway",1989,8.26,1.10803,4.84,4.23,"Large-Magnitude PR"
"Norway",1993,8.26,1.10803,4.74,4.04,"Large-Magnitude PR"
"Norway",1997,8.26,1.10803,5.07,4.36,"Large-Magnitude PR"
"Pakistan",1977,1,2.13721,2.045,1.58,"Single-Member District"
"Pakistan",1990,1,2.13721,3.565,3.18,"Single-Member District"
"Pakistan",1993,1,2.13721,3.26,3.21,"Single-Member District"
"Panama",1960,5.3,2.02716,4.71,5.11,"Small-Magnitude PR"
"Panama",1994,1.78,2.02716,8.64,4.33,"Small-Magnitude PR"
"Panama",1999,1.78,2.02716,5.68,3.26,"Small-Magnitude PR"
"Peru",1963,5.79,2.76167,2.98,3.54,"Small-Magnitude PR"
"Peru",1980,7.5,2.76167,4.18,2.46,"Large-Magnitude PR"
"Peru",1985,6.92,2.76167,3.02,2.31,"Small-Magnitude PR"
"Peru",1990,6.92,2.76167,5.035,4.04,"Small-Magnitude PR"
"Philippines",1946,1,1.19155,3.335,2.93,"Single-Member District"
"Philippines",1949,1,1.19155,2.445,2.12,"Single-Member District"
"Philippines",1953,1,1.19155,2.565,2.28,"Single-Member District"
"Philippines",1957,1,1.19155,2.14,1.47,"Single-Member District"
"Philippines",1961,1,1.19155,2.055,1.71,"Single-Member District"
"Philippines",1965,1,1.19155,2.28,2.05,"Single-Member District"
"Philippines",1992,1,1.19155,4.91,3.75,"Single-Member District"
"Philippines",1995,1,1.19155,4.805,3.62,"Single-Member District"
"Philippines",1998,1,1.19155,3.12,3.08,"Single-Member District"
"Poland",1991,10.57,1.0496,13.86,10.87,"Large-Magnitude PR"
"Poland",1993,7.52,1.0496,9.8,3.88,"Large-Magnitude PR"
"Poland",1997,7.52,1.0496,4.59,2.95,"Large-Magnitude PR"
"Portugal",1976,12.95,1.04123,4,3.43,"Large-Magnitude PR"
"Portugal",1979,12.3,1.04123,3.01,2.54,"Large-Magnitude PR"
"Portugal",1980,12.3,1.04123,2.89,2.51,"Large-Magnitude PR"
"Portugal",1983,12.3,1.04123,3.74,3.41,"Large-Magnitude PR"
"Portugal",1985,12.3,1.04123,4.77,4.26,"Large-Magnitude PR"
"Portugal",1987,12.3,1.04123,2.98,2.37,"Large-Magnitude PR"
"Portugal",1991,11.3,1.04123,2.86,2.24,"Large-Magnitude PR"
"Portugal",1995,11.3,1.04123,3.09,2.55,"Large-Magnitude PR"
"Portugal",1999,11.3,1.04123,3.19,2.62,"Large-Magnitude PR"
"Romania",1990,9.44,1.42808,2.21,2.19,"Large-Magnitude PR"
"Romania",1992,7.81,1.42808,6.96,4.78,"Large-Magnitude PR"
"Romania",1996,7.81,1.42808,6.08,4.3,"Large-Magnitude PR"
"Romania",2000,7.79,1.42808,5.23,3.53,"Large-Magnitude PR"
"Sierra Leone",1996,68,4.23723,4.735,3.82,"Large-Magnitude PR"
"Slovak Republic",1994,37.5,1.49592,5.81,4.41,"Large-Magnitude PR"
"Slovak Republic",1998,150,1.49592,5.26,4.76,"Large-Magnitude PR"
"Slovenia",1992,11,1.3006,8.34,6.6,"Large-Magnitude PR"
"Slovenia",1996,11,1.3006,6.32,5.53,"Large-Magnitude PR"
"Slovenia",2000,11,1.3006,5.13,4.55,"Large-Magnitude PR"
"Somalia",1964,2.62,5.31067,3.05,2.72,"Small-Magnitude PR"
"South Africa",1994,22.22,8.30392,2.24,2.21,"Large-Magnitude PR"
"South Africa",1999,22.22,8.30392,2.16,2.15,"Large-Magnitude PR"
"Spain",1977,6.73,2.00869,4.31,2.92,"Small-Magnitude PR"
"Spain",1979,6.73,2.00869,4.28,2.81,"Small-Magnitude PR"
"Spain",1982,6.73,2.00869,3.19,2.33,"Small-Magnitude PR"
"Spain",1986,6.73,2.00869,3.6,3.02,"Small-Magnitude PR"
"Spain",1989,6.73,2.00869,4.08,2.85,"Small-Magnitude PR"
"Spain",1993,6.73,2.00869,3.53,2.67,"Small-Magnitude PR"
"Spain",1996,6.73,2.00869,3.27,2.72,"Small-Magnitude PR"
"Spain",2000,6.73,2.00869,3.12,2.48,"Small-Magnitude PR"
"Sri Lanka",1952,1,1.74969,4.155,2.89,"Single-Member District"
"Sri Lanka",1956,1,1.74969,4.005,3.04,"Single-Member District"
"Sri Lanka",1960,1,1.74969,6.255,4.49,"Single-Member District"
"Sri Lanka",1960,1,1.74969,3.74,3.27,"Single-Member District"
"Sri Lanka",1965,1,1.74969,3.885,3.57,"Single-Member District"
"Sri Lanka",1970,1,1.74969,3.425,2.49,"Single-Member District"
"Sri Lanka",1977,1,1.74969,2.83,1.41,"Single-Member District"
"Sri Lanka",1989,8.91,1.74969,2.76,2.5,"Large-Magnitude PR"
"Sri Lanka",1994,8.91,1.74969,2.31,2.53,"Large-Magnitude PR"
"Sri Lanka",2000,8.91,1.74969,2.705,2.59,"Large-Magnitude PR"
"Sweden",1948,8.21,1.23376,3.35,3.06,"Large-Magnitude PR"
"Sweden",1952,8.21,1.23376,3.28,3.09,"Large-Magnitude PR"
"Sweden",1956,8.25,1.23376,3.37,3.18,"Large-Magnitude PR"
"Sweden",1958,8.25,1.23376,3.31,3.16,"Large-Magnitude PR"
"Sweden",1960,8.29,1.23376,3.26,3.12,"Large-Magnitude PR"
"Sweden",1964,8.32,1.23376,3.42,3.25,"Large-Magnitude PR"
"Sweden",1968,8.32,1.23376,3.18,2.88,"Large-Magnitude PR"
"Sweden",1970,11.07,1.23376,3.49,3.31,"Large-Magnitude PR"
"Sweden",1973,11.07,1.23376,3.54,3.35,"Large-Magnitude PR"
"Sweden",1976,11.07,1.23376,3.58,3.44,"Large-Magnitude PR"
"Sweden",1979,11.07,1.23376,3.63,3.49,"Large-Magnitude PR"
"Sweden",1982,11.07,1.23376,3.39,3.13,"Large-Magnitude PR"
"Sweden",1985,11.07,1.23376,3.34,3.39,"Large-Magnitude PR"
"Sweden",1988,11.07,1.23376,3.91,3.67,"Large-Magnitude PR"
"Sweden",1991,11.07,1.23376,4.58,4.2,"Large-Magnitude PR"
"Sweden",1994,10.69,1.23376,3.65,3.51,"Large-Magnitude PR"
"Sweden",1998,10.69,1.23376,4.54,4.29,"Large-Magnitude PR"
"Switzerland",1947,7.76,2.35385,5.34,5,"Large-Magnitude PR"
"Switzerland",1951,7.84,2.35385,5.09,4.8,"Large-Magnitude PR"
"Switzerland",1957,7.84,2.35385,4.96,4.71,"Large-Magnitude PR"
"Switzerland",1959,7.84,2.35385,5.04,4.75,"Large-Magnitude PR"
"Switzerland",1963,8,2.35385,5.005,4.78,"Large-Magnitude PR"
"Switzerland",1967,8,2.35385,5.55,5.13,"Large-Magnitude PR"
"Switzerland",1971,8,2.35385,6.17,5.49,"Large-Magnitude PR"
"Switzerland",1975,8,2.35385,5.795,5,"Large-Magnitude PR"
"Switzerland",1979,7.7,2.35385,5.52,5.1,"Large-Magnitude PR"
"Switzerland",1983,7.7,2.35385,6.03,5.26,"Large-Magnitude PR"
"Switzerland",1987,7.7,2.35385,6.83,5.76,"Large-Magnitude PR"
"Switzerland",1991,7.7,2.35385,7.37,6.7,"Large-Magnitude PR"
"Switzerland",1995,7.7,2.35385,6.86,5.6,"Large-Magnitude PR"
"Switzerland",1999,7.7,2.35385,5.88,5.16,"Large-Magnitude PR"
"Taiwan",1998,6.72,1.37817,3.225,2.51,"Small-Magnitude PR"
"Thailand",1983,2.4,1.75863,5.905,5.62,"Small-Magnitude PR"
"Thailand",1986,2.51,1.75863,7.97,6.18,"Small-Magnitude PR"
"Thailand",1988,2.51,1.75863,9.75,7.74,"Small-Magnitude PR"
"Thailand",1992,2.54,1.75863,6.7,6.01,"Small-Magnitude PR"
"Thailand",1992,2.54,1.75863,6.6,6.11,"Small-Magnitude PR"
"Thailand",1995,2.52,1.75863,6.81,6.43,"Small-Magnitude PR"
"Thailand",1996,2.52,1.75863,4.61,4.32,"Small-Magnitude PR"
"Trinidad and Tobago",1966,1,2.83221,2.51,1.8,"Single-Member District"
"Trinidad and Tobago",1971,1,2.83221,1.38,1,"Single-Member District"
"Trinidad and Tobago",1976,1,2.83221,2.65,1.91,"Single-Member District"
"Trinidad and Tobago",1981,1,2.83221,2.82,1.74,"Single-Member District"
"Trinidad and Tobago",1986,1,2.83221,1.84,1.18,"Single-Member District"
"Trinidad and Tobago",1991,1,2.83221,2.88,2.11,"Single-Member District"
"Trinidad and Tobago",1995,1,2.83221,2.22,2.23,"Single-Member District"
"Trinidad and Tobago",2000,1,2.83221,2.15,2,"Single-Member District"
"Turkey",1961,6.72,1.42552,3.4,3.27,"Small-Magnitude PR"
"Turkey",1965,6.72,1.42552,2.71,2.62,"Small-Magnitude PR"
"Turkey",1969,6.72,1.42552,3.33,2.34,"Small-Magnitude PR"
"Turkey",1973,6.72,1.42552,4.31,3.32,"Small-Magnitude PR"
"Turkey",1977,6.72,1.42552,3.13,2.47,"Small-Magnitude PR"
"Turkey",1983,5.42,1.42552,2.85,2.52,"Small-Magnitude PR"
"Turkey",1987,4.33,1.42552,4.12,2.05,"Small-Magnitude PR"
"Turkey",1991,4.21,1.42552,4.68,3.57,"Small-Magnitude PR"
"Turkey",1995,6.63,1.42552,6.14,4.41,"Small-Magnitude PR"
"Turkey",1999,6.55,1.42552,6.78,4.87,"Small-Magnitude PR"
"Uganda",1980,1,14.2243,2.24,1.95,"Single-Member District"
"United Kingdom",1950,1,1.48036,2.44,2.08,"Single-Member District"
"United Kingdom",1951,1,1.48036,2.13,2.05,"Single-Member District"
"United Kingdom",1955,1,1.48036,2.16,2.02,"Single-Member District"
"United Kingdom",1959,1,1.48036,2.28,1.99,"Single-Member District"
"United Kingdom",1964,1,1.48036,2.52,2.06,"Single-Member District"
"United Kingdom",1966,1,1.48036,2.42,2.02,"Single-Member District"
"United Kingdom",1970,1,1.48036,2.46,2.07,"Single-Member District"
"United Kingdom",1974,1,1.48036,3.13,2.25,"Single-Member District"
"United Kingdom",1974,1,1.48036,3.15,2.26,"Single-Member District"
"United Kingdom",1979,1,1.48036,2.87,2.15,"Single-Member District"
"United Kingdom",1983,1,1.48036,2.83,2.09,"Single-Member District"
"United Kingdom",1987,1,1.48036,2.85,2.17,"Single-Member District"
"United Kingdom",1992,1,1.48036,3.03,2.27,"Single-Member District"
"United Kingdom",1997,1,1.48036,3.23,2.12,"Single-Member District"
"United States",1946,1,1.96447,2.05,1.98,"Single-Member District"
"United States",1948,1,1.96447,2.07,1.92,"Single-Member District"
"United States",1950,1,1.96447,2.06,2,"Single-Member District"
"United States",1952,1,1.96447,2.04,2.01,"Single-Member District"
"United States",1954,1,1.96447,2.01,1.99,"Single-Member District"
"United States",1956,1,1.96447,2.01,1.99,"Single-Member District"
"United States",1958,1,1.96447,1.98,1.82,"Single-Member District"
"United States",1960,1,1.96447,2.01,1.91,"Single-Member District"
"United States",1962,1,1.96447,2.01,1.93,"Single-Member District"
"United States",1964,1,1.96447,1.97,1.78,"Single-Member District"
"United States",1966,1,1.96447,2.03,1.96,"Single-Member District"
"United States",1968,1,1.96447,2.05,1.97,"Single-Member District"
"United States",1970,1,1.96447,2.035,1.94,"Single-Member District"
"United States",1972,1,1.96447,2.04,1.97,"Single-Member District"
"United States",1974,1,1.96447,2,1.79,"Single-Member District"
"United States",1976,1,1.96447,2.02,1.79,"Single-Member District"
"United States",1978,1,1.96447,2.03,1.86,"Single-Member District"
"United States",1980,1,1.96447,2.06,1.97,"Single-Member District"
"United States",1982,1,1.96447,2.02,1.89,"Single-Member District"
"United States",1984,1,1.96447,2.03,1.95,"Single-Member District"
"United States",1986,1,1.96447,2.01,1.93,"Single-Member District"
"United States",1988,1,1.96447,2.03,1.93,"Single-Member District"
"United States",1990,1,1.96447,2.07,1.91,"Single-Member District"
"United States",1992,1,1.96447,2.145,1.93,"Single-Member District"
"United States",1994,1,1.96447,2.08,1.99,"Single-Member District"
"United States",1996,1,1.96447,2.11,1.99,"Single-Member District"
"United States",1998,1,1.96447,2.155,1.99,"Single-Member District"
"United States",2000,1,1.96447,2.18,2.02,"Single-Member District"
"Venezuela",1947,4.78,1.93526,1.87,1.68,"Small-Magnitude PR"
"Venezuela",1963,7.26,1.93526,4.77,4.32,"Large-Magnitude PR"
"Venezuela",1968,8.52,1.93526,6.045,4.89,"Large-Magnitude PR"
"Venezuela",1973,7.96,1.93526,3.36,2.72,"Large-Magnitude PR"
"Venezuela",1978,7.96,1.93526,3.11,2.65,"Large-Magnitude PR"
"Venezuela",1983,7.91,1.93526,2.97,2.42,"Large-Magnitude PR"
"Venezuela",1988,7.91,1.93526,3.38,2.83,"Large-Magnitude PR"
"Venezuela",1993,1,1.93526,5.635,4.74,"Single-Member District"
"Venezuela",1998,1.22,1.93526,7.36,6.05,"Small-Magnitude PR"
"Venezuela",2000,6.88,1.93526,4.24,3.44,"Small-Magnitude PR"
"Zambia",1991,1,3.64697,1.63,1.39,"Single-Member District"
"Zambia",1996,1,3.64697,2.5,1.31,"Single-Member District"
